DeviceID: MARS-HOMER
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,marbtn,calibbtn
127.416,9596,35,NOERROR,2,1,1,0,-88.5863,0.1849403,-100.6494,67.69049,14.8099,0.01041494,-0.422016,0.2846268,-88.5863,23.7941,-56.81706,-88,-1,4,1,1
127.429,9597,35,NOERROR,2,1,1,0,-88.5863,0.1849403,-100.5615,67.69049,14.82194,0.01042577,-0.4224549,0.2847075,-88.5863,23.7002,-56.57848,-88,-1,5,1,1
127.442,9598,35,NOERROR,2,1,1,0,-88.5863,0.1849403,-100.5615,67.69049,14.83842,0.01042577,-0.4224549,0.2847075,-88.5863,23.7002,-56.57848,-88,0,4,1,1
127.455,9599,35,NOERROR,2,1,1,0,-88.5863,0.1849403,-100.4736,67.6026,14.85956,0.01043661,-0.4228939,0.2847876,-88.5863,23.60597,-56.33888,-88,0,4,1,1
127.469,9600,35,NOERROR,2,1,1,0,-88.5863,0.09704971,-100.3857,67.6026,14.87868,0.01043665,-0.4228957,0.2855163,-88.5863,23.51541,-56.36222,-89,0,5,1,1
127.482,9601,35,NOERROR,2,1,1,0,-88.5863,0.09704971,-100.3857,67.6026,14.90137,0.01043665,-0.4228957,0.2855163,-88.5863,23.51541,-56.36222,-89,0,5,1,1
127.495,9602,35,NOERROR,2,1,1,0,-88.5863,0.009159088,-100.2979,67.6026,14.92049,0.01043667,-0.4228964,0.2862449,-88.5863,23.4248,-56.38546,-88,0,6,1,1
127.508,9603,35,NOERROR,2,1,1,0,-88.5863,0.009159088,-100.2979,67.6026,14.93814,0.01043667,-0.4228964,0.2862449,-88.5863,23.4248,-56.38546,-89,0,6,1,1
127.522,9604,35,NOERROR,2,1,1,0,-88.5863,-0.07873154,-100.21,67.6026,14.95065,0.01043666,-0.4228959,0.2869735,-88.5863,23.33415,-56.40863,-88,0,7,1,1
127.535,9605,35,NOERROR,2,1,1,0,-88.5863,-0.07873154,-100.21,67.6026,14.95687,0.01043666,-0.4228959,0.2869735,-88.5863,23.33415,-56.40863,-88,-1,7,1,1
